SeniorCitizen,tenure,MonthlyCharges,TotalCharges,TenureGroup,AvgCharges,HighValue,HasSupport,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.44062462889205983,-1.2499183937896414,0.6516811219159195,-0.09995487673503481,,20.31670384668635,1.0539938139809355,-0.33353051367198155,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-1.4402977955348057,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-1.459284402871405,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
-0.44062462889205983,-1.2499183937896414,-1.2642401638681606,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-0.32526612831271956,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,2.998226426093877,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False
-0.44062462889205983,-1.2499183937896414,-1.250431722168816,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,0.39277284005320595,-0.09995487673503481,,20.31670384668635,1.0539938139809355,-0.33353051367198155,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-1.4489280715968964,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-0.002493803590536581,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,2.998226426093877,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
-0.44062462889205983,-1.2499183937896414,-1.4541062372341504,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,-0.33353051367198155,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
-0.44062462889205983,-1.2499183937896414,-0.2044422634434532,-0.09995487673503481,,20.31670384668635,-0.9487721718432096,2.998226426093877,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False
